new_cation,new_anion,IL_SMILES,Experimental logEC50,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
CCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,4.086359831,C7H11F3N2O3S,7.0,11.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0
CCCn1cc[n+](C)c1,F[B-](F)(F)F,CCCn1cc[n+](C)c1.F[B-](F)(F)F,3.45,C7H13BF4N2,7.0,13.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.682145076,C10H15F6N3O4S2,10.0,15.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
C[N+]1(CCCO)CCCC1,[Cl-],C[N+]1(CCCO)CCCC1.[Cl-],4.6,C8H18ClNO,8.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCC[n+]1ccccc1,[Br-],CCCC[n+]1ccccc1.[Br-],3.9,C9H14BrN,9.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CCCCCC[n+]1ccn(C)c1C,F[B-](F)(F)F,CCCCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,1.9,C11H21BF4N2,11.0,21.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCC[N+]1(C)CCCC1,F[B-](F)(F)F,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,2.9,C9H20BF4N,9.0,20.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCC[n+]1ccc(C)cc1,[Cl-],CCCC[n+]1ccc(C)cc1.[Cl-],3.32,C10H16ClN,10.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CN(C)c1cc[n+](C)cc1,[I-],CN(C)c1cc[n+](C)cc1.[I-],2.89,C8H13IN2,8.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CCn1cc[n+](C)c1,F[B-](F)(F)F,CCn1cc[n+](C)c1.F[B-](F)(F)F,3.44,C6H11BF4N2,6.0,11.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCOCC[NH+](C)C,[Cl-],CCOCC[NH+](C)C.[Cl-],4.6,C6H16ClNO,6.0,16.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCC[N+](CCCC)(CCCC)CCCC,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,CCCC[N+](CCCC)(CCCC)CCCC.c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,1.61,C28H44BNO4,28.0,44.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC[n+]1ccc(N(C)C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[n+]1ccc(N(C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.82,C13H19F6N3O4S2,13.0,19.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
O=S(=O)(O)CCC[n+]1ccccc1,O=S(=O)([O-])C(F)(F)F,O=S(=O)(O)CCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,3.9,C9H12F3NO6S2,9.0,12.0,1.0,6.0,2.0,0.0,3.0,0.0,0.0,0.0
Cc1ccc(Cn2cc[n+](C)c2)cc1,[Cl-],Cc1ccc(Cn2cc[n+](C)c2)cc1.[Cl-],2.64,C12H15ClN2,12.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCn1cc[n+](C)c1,CCCCCCCCOS(=O)(=O)[O-],CCCCn1cc[n+](C)c1.CCCCCCCCOS(=O)(=O)[O-],3.225309282,C16H32N2O4S,16.0,32.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
C[n+]1ccn(CCO)c1,[I-],C[n+]1ccn(CCO)c1.[I-],4.6,C6H11IN2O,6.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
CCOC[N+]1(C)CCCC1,[Cl-],CCOC[N+]1(C)CCCC1.[Cl-],3.05,C8H18ClNO,8.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCCCCCCCCCCn1cc[n+](C)c1,[Cl-],CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],-0.24,C20H39ClN2,20.0,39.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.128427064,C26H47F6N3O4S2,26.0,47.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCCCCCC[n+]1ccccc1,[Cl-],CCCCCCCC[n+]1ccccc1.[Cl-],1.27,C13H22ClN,13.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCOC[n+]1cccc(O)c1,[Cl-],CCCOC[n+]1cccc(O)c1.[Cl-],2.9,C9H14ClNO2,9.0,14.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
CCOCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.26,C11H14F6N2O5S2,11.0,14.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCn1cc[n+](C)c1,O=C([O-])C(F)(F)F,CCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,4.004321374,C8H11F3N2O2,8.0,11.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
CCCC[n+]1ccccc1,[Cl-],CCCC[n+]1ccccc1.[Cl-],3.77,C9H14ClN,9.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,CCCCCCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1,3.0,C17H26N2O6S,17.0,26.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCCC[n+]1ccc(N(C)C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccc(N(C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.93,C15H23F6N3O4S2,15.0,23.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
C[n+]1ccn(CCCO)c1,[Cl-],C[n+]1ccn(CCCO)c1.[Cl-],4.6,C7H13ClN2O,7.0,13.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCn1cc[n+](C)c1,COCCOCCOS(=O)(=O)[O-],CCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],3.15,C13H26N2O6S,13.0,26.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.24,C34H68F6NO4PS2,34.0,68.0,1.0,4.0,2.0,1.0,6.0,0.0,0.0,0.0
CCCC[n+]1ccccc1,F[B-](F)(F)F,CCCC[n+]1ccccc1.F[B-](F)(F)F,3.16,C9H14BF4N,9.0,14.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCCCCn1cc[n+](C)c1,O=C1[N-]S(=O)(=O)c2ccccc21,CCCCCCn1cc[n+](C)c1.O=C1[N-]S(=O)(=O)c2ccccc21,2.307496038,C17H23N3O3S,17.0,23.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
CCn1cc[n+](C)c1,O=C([O-])C(F)(F)F,CCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,4.0,C8H11F3N2O2,8.0,11.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
CCCCCC[n+]1ccccc1,O=S(=O)([O-])C(F)(F)F,CCCCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,2.54,C12H18F3NO3S,12.0,18.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0
CCn1cc[n+](C)c1,N#C[B-](C#N)(C#N)C#N,CCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,3.5,C10H11BN6,10.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCOCC[N+](C)(C)CC,[Cl-],CCOCC[N+](C)(C)CC.[Cl-],4.6,C8H20ClNO,8.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,CCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,2.58,C11H21BF4N2,11.0,21.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCCn1cc[n+](C)c1,[I-],CCCCn1cc[n+](C)c1.[I-],3.48,C8H15IN2,8.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CCCCCCCC[n+]1cccc(C)c1,[Cl-],CCCCCCCC[n+]1cccc(C)c1.[Cl-],1.47,C14H24ClN,14.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCC[n+]1ccccc1,[Br-],CCCCC[n+]1ccccc1.[Br-],3.15,C10H16BrN,10.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CCCC[n+]1cccc2ccccc21,[Br-],CCCC[n+]1cccc2ccccc21.[Br-],2.32,C13H16BrN,13.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CCCCCCCCn1cc[n+](C)c1,[Cl-],CCCCCCCCn1cc[n+](C)c1.[Cl-],2.0,C12H23ClN2,12.0,23.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCCC[n+]1ccc(C)cc1,F[B-](F)(F)F,CCCCCCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1.49,C14H24BF4N,14.0,24.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCn1cc[n+](C)c1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,CCn1cc[n+](C)c1.O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2,2.93,C10H11BN2O8,10.0,11.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
C[N+]1(CCO)CCOCC1,[I-],C[N+]1(CCO)CCOCC1.[I-],4.6,C7H16INO2,7.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
COCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.342422681,C10H15F6N3O5S2,10.0,15.0,3.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCCCCn1cc[n+](CC)c1,[Br-],CCCCCCn1cc[n+](CC)c1.[Br-],2.01,C11H21BrN2,11.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CCCCCC[N+]1(C)CCCC1,[Cl-],CCCCCC[N+]1(C)CCCC1.[Cl-],2.91,C11H24ClN,11.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCn1cc[n+](C)c1,COCCOCCOS(=O)(=O)[O-],CCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],3.158362492,C13H26N2O6S,13.0,26.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,2.980003372,C10H19BF4N2,10.0,19.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.41,C15H20F18NP,15.0,20.0,1.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0
CCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.61,C9H18F6N2O4S2,9.0,18.0,2.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCC[n+]1ccc(C)cc1,F[B-](F)(F)F,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,2.98,C10H16BF4N,10.0,16.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCCCCCC[n+]1ccc(C)cc1,[Cl-],CCCCCCCC[n+]1ccc(C)cc1.[Cl-],1.63,C14H24ClN,14.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCOC(=O)C[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC(=O)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.592176757,C11H18F6N2O6S2,11.0,18.0,2.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCC[P+](CCCC)(CCCC)CCCC,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,CCCC[P+](CCCC)(CCCC)CCCC.c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,1.32,C28H44BO4P,28.0,44.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
CCCCCCn1cc[n+](C)c1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1.4,C19H19F24N2P,19.0,19.0,2.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0
CC[n+]1ccc(N(C)C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[n+]1ccc(N(C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.79,C11H15F6N3O4S2,11.0,15.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.41,C12H22F6N2O4S2,12.0,22.0,2.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
CCn1cc[n+](C)c1,CC(=O)[O-],CCn1cc[n+](C)c1.CC(=O)[O-],4.23,C8H14N2O2,8.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CCn1cc[n+](C)c1,CC(=O)[O-],CCn1cc[n+](C)c1.CC(=O)[O-],4.225309282,C8H14N2O2,8.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
C[N+]1(CC#N)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CC#N)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.8,C9H13F6N3O4S2,9.0,13.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
CC[N+](C)(C)CC#N,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C)CC#N.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.86,C8H13F6N3O4S2,8.0,13.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
OCC[NH+](CCO)CCO,CCCC(=O)[O-],OCC[NH+](CCO)CCO.CCCC(=O)[O-],3.394451681,C10H23NO5,10.0,23.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
CCOC[n+]1ccccc1,[Cl-],CCOC[n+]1ccccc1.[Cl-],3.32,C8H12ClNO,8.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.243038049,C12H19F6N3O4S2,12.0,19.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
Cn1cc[n+](CCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.763427994,C8H11F6N3O5S2,8.0,11.0,3.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1.59,C12H23BF4N2,12.0,23.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CCCCCCn1cc[n+](C)c1,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](C)c1.O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F,3.44,C14H19F9N2O6S3,14.0,19.0,2.0,6.0,3.0,0.0,9.0,0.0,0.0,0.0
C[N+]1(CCO)CCCC1,[I-],C[N+]1(CCO)CCCC1.[I-],4.6,C7H16INO,7.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
COCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.28,C11H20F6N2O5S2,11.0,20.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CC[N+](C)(C)CC#N,[Cl-],CC[N+](C)(C)CC#N.[Cl-],4.6,C6H13ClN2,6.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCOC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.26,C10H18F6N2O5S2,10.0,18.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCn1cc[n+](C)c1,[Cl-],CCn1cc[n+](C)c1.[Cl-],3.86,C6H11ClN2,6.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCn1cc[n+](C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1.374748346,C14H15F18N2P,14.0,15.0,2.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0
CCCCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,CCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1.498310554,C14H27F6N2P,14.0,27.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
CC[N+](C)(C)CCCOC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C)CCCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.54,C10H20F6N2O5S2,10.0,20.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
N#CC[n+]1ccccc1,[Cl-],N#CC[n+]1ccccc1.[Cl-],3.79,C7H7ClN2,7.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,CCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,3.07,C9H17F6N2P,9.0,17.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
CC(=O)OCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CC(=O)OCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.91,C15H18F18NO2P,15.0,18.0,1.0,2.0,0.0,1.0,18.0,0.0,0.0,0.0
CCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.24,C12H19F6N3O4S2,12.0,19.0,3.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0
CCOCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.181843588,C10H15F6N3O5S2,10.0,15.0,3.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCCCCCCCn1cc[n+](C)c1,[Cl-],CCCCCCCCCn1cc[n+](C)c1.[Cl-],1.399673721,C13H25ClN2,13.0,25.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cc1ccc(Cn2cc[n+](C)c2)cc1,F[P-](F)(F)(F)(F)F,Cc1ccc(Cn2cc[n+](C)c2)cc1.F[P-](F)(F)(F)(F)F,2.663700925,C12H15F6N2P,12.0,15.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
COCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.3,C10H18F6N2O5S2,10.0,18.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCOC(=O)C[N+](C)(C)CC,[Br-],CCOC(=O)C[N+](C)(C)CC.[Br-],3.85,C8H18BrNO2,8.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
C[n+]1ccn(Cc2ccccc2)c1,[Cl-],C[n+]1ccn(Cc2ccccc2)c1.[Cl-],3.3,C11H13ClN2,11.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCC[N+](C)(C)CC,[Cl-],CCCC[N+](C)(C)CC.[Cl-],4.6,C8H20ClN,8.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCn1cc[n+](C)c1,CCOS(=O)(=O)[O-],CCn1cc[n+](C)c1.CCOS(=O)(=O)[O-],3.928395852,C8H16N2O4S,8.0,16.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCn1cc[n+](C)c1,[Cl-],CCCCn1cc[n+](C)c1.[Cl-],3.55,C8H15ClN2,8.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCOC[N+](C)(C)CC,[Cl-],CCOC[N+](C)(C)CC.[Cl-],3.59,C7H18ClNO,7.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCOCn1cc[n+](C)c1,[Cl-],CCOCn1cc[n+](C)c1.[Cl-],3.603144373,C7H13ClN2O,7.0,13.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCOC[N+]1(C)CCCCC1,[Cl-],CCOC[N+]1(C)CCCCC1.[Cl-],4.23,C9H20ClNO,9.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCOCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.201397124,C9H13F6N3O5S2,9.0,13.0,3.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
C[NH+]1C=CN=C1,F[B-](F)(F)F,C[NH+]1C=CN=C1.F[B-](F)(F)F,3.09,C4H7BF4N2,4.0,7.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Cc1ccc(CN2C=C[NH+](C)C2)cc1,[Cl-],Cc1ccc(CN2C=C[NH+](C)C2)cc1.[Cl-],2.64,C12H17ClN2,12.0,17.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCC[N+]1(C)CCOCC1,[Br-],CCCC[N+]1(C)CCOCC1.[Br-],4.6,C9H20BrNO,9.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
COCCCn1cc[n+](C)c1,[Cl-],COCCCn1cc[n+](C)c1.[Cl-],4.79,C8H15ClN2O,8.0,15.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,CCCCCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1,3.4,C16H24N2O6S,16.0,24.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
CCOCC[n+]1ccccc1,[Br-],CCOCC[n+]1ccccc1.[Br-],4.24,C9H14BrNO,9.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
CCCCCCCn1cc[n+](C)c1,[Cl-],CCCCCCCn1cc[n+](C)c1.[Cl-],2.53,C11H21ClN2,11.0,21.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,CCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1,3.5,C13H18N2O6S,13.0,18.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
OCC[NH2+]CCO,CCCC(=O)[O-],OCC[NH2+]CCO.CCCC(=O)[O-],3.245512668,C8H19NO4,8.0,19.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
COCC[n+]1ccccc1,[Cl-],COCC[n+]1ccccc1.[Cl-],4.6,C8H12ClNO,8.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
COCCC[N+]1(C)CCOCC1,[Cl-],COCCC[N+]1(C)CCOCC1.[Cl-],4.6,C9H20ClNO2,9.0,20.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCC[n+]1ccn(C)c1,[Cl-],CCCCC[n+]1ccn(C)c1.[Cl-],3.16,C9H17ClN2,9.0,17.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCCC[NH+]1C=CN(C)C1,[Cl-],CCCCCCC[NH+]1C=CN(C)C1.[Cl-],2.53,C11H23ClN2,11.0,23.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
