new_cation,new_anion,IL_SMILES,Experimental logEC50,MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I
C[N+]1(CCO)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.72,C9H16F6N2O5S2,9.0,16.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCC[N+]1(C)CCCC1,[Cl-],CCCC[N+]1(C)CCCC1.[Cl-],4.6,C9H20ClN,9.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCCC[n+]1cccc(C)c1,[Cl-],CCCCCC[n+]1cccc(C)c1.[Cl-],2.4,C12H20ClN,12.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CCCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21,CCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,3.6,C17H20N2O5S,17.0,20.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCOC[n+]1cccc(O)c1,[Cl-],CCCCCCCOC[n+]1cccc(O)c1.[Cl-],3.0,C13H22ClNO2,13.0,22.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
C[N+]1(Cc2ccccc2)CCOCC1,CC(O)C(=O)[O-],C[N+]1(Cc2ccccc2)CCOCC1.CC(O)C(=O)[O-],4.3,C15H23NO4,15.0,23.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
C[N+]1(CCCO)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CCCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.6,C10H18F6N2O5S2,10.0,18.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
CCCCCC[n+]1ccc(C)cc1,F[B-](F)(F)F,CCCCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,2.17,C12H20BF4N,12.0,20.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
COCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.19,C10H12F6N2O5S2,10.0,12.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0
C[N+]1(Cc2ccccc2)CCOCC1,CCCCCCCCCCCCOS(=O)(=O)[O-],C[N+]1(Cc2ccccc2)CCOCC1.CCCCCCCCCCCCOS(=O)(=O)[O-],2.4,C24H43NO5S,24.0,43.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
CCCCCCn1cc[n+](C)c1,[Cl-],CCCCCCn1cc[n+](C)c1.[Cl-],2.85,C10H19ClN2,10.0,19.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
