IL_SMILES,NAME,ARTICLEID,IL-Tm (deg-C),IL-Tm (K),MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I,Si
C[NH2+]C.O=S(=O)([O-])C(F)(F)F,dimethylammonium triflate,A130585,114,387.15,C3H8F3NO3S,3,8,1,3,1,0,3,0,0,0,0
C[NH2+]C.O=C[O-],dimethylammonium formate,A130563,-13,260.15,C3H9NO2,3,9,1,2,0,0,0,0,0,0,0
C[NH2+]C.O=[N+]([O-])[O-],Dimethylammonium nitrate,A130387,75,348.15,C2H8N2O3,2,8,2,3,0,0,0,0,0,0,0
C[NH2+]C.O=P([O-])(O)O,dimethylammonium dihydrogen phosphate,A130387,117.3,390.45,C2H10NO4P,2,10,1,4,0,1,0,0,0,0,0
CC[NH2+]CC.O=S(=O)([O-])C(F)(F)F,Diethylammonium trifluoromethanesulfonate,A130585,127,400.15,C5H12F3NO3S,5,12,1,3,1,0,3,0,0,0,0
CC[NH2+]CC.O=[N+]([O-])[O-],Diethylammonium nitrate,A130588,96,369.15,C4H12N2O3,4,12,2,3,0,0,0,0,0,0,0
CC[NH2+]CC.O=P([O-])(O)O,Diethylammonium dihydrogen phosphate,A130629,148,421.15,C4H14NO4P,4,14,1,4,0,1,0,0,0,0,0
CC[NH2+]CC.[Br-],Diethylammonium bromide,A130628,208,481.15,C4H12BrN,4,12,1,0,0,0,0,0,1,0,0
CC[NH2+]CC.[Cl-],Diethylammonium chloride,A130592,220,493.15,C4H12ClN,4,12,1,0,0,0,0,1,0,0,0
CCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C8im][Tf2N]; 1-Octylimidazolium bis(trifluoromethylsulfonyl)imide,A131928,-0.75,272.4,C13H21F6N3O4S2,13,21,3,4,2,0,6,0,0,0,0
CCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C9im][Tf2N]; 1-Nonylimidazolium bis(trifluoromethylsulfonyl)imide,A131928,17.55,290.7,C14H23F6N3O4S2,14,23,3,4,2,0,6,0,0,0,0
CCCCCCCCCC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C10im][Tf2N]; 1-Decylimidazolium bis(trifluoromethylsulfonyl)imide,A131928,6.75,279.9,C15H25F6N3O4S2,15,25,3,4,2,0,6,0,0,0,0
CCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,[C3mim][CF3SO3]; 1-Propyl-3-methylimidazolium trifluoromethanesulfonate,A131928,5.95,279.1,C8H13F3N2O3S,8,13,2,3,1,0,3,0,0,0,0
CCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,[C7mim][CF3SO3]; 1-heptyl-3-methylimidazolium trifluoromethanesulfonate,A131928,-15.05,258.1,C12H21F3N2O3S,12,21,2,3,1,0,3,0,0,0,0
CCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,[C9mim][CF3SO3]; 1-Nonyl-3-methylimidazolium trifluoromethanesulfonate,A131928,9.65,282.8,C14H25F3N2O3S,14,25,2,3,1,0,3,0,0,0,0
CCCCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],[C6mim][CH3SO3]; 1-hexyl-3-methylimidazolium methanesulfonate,A131928,36.35,309.5,C11H22N2O3S,11,22,2,3,1,0,0,0,0,0,0
CCCCCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],[C7mim][CH3SO3]; 1-heptyl-3-methylimidazolium methanesulfonate,A131928,37.05,310.2,C12H24N2O3S,12,24,2,3,1,0,0,0,0,0,0
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],[C1AdA][Br],A131966,300,573.15,C13H24BrN,13,24,1,0,0,0,0,0,1,0,0
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],[C2AdA][Br],A131966,253,526.15,C14H26BrN,14,26,1,0,0,0,0,0,1,0,0
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],[C4AdA][Br],A131966,222,495.15,C16H30BrN,16,30,1,0,0,0,0,0,1,0,0
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],[C6AdA][Br],A131966,198,471.15,C18H34BrN,18,34,1,0,0,0,0,0,1,0,0
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],[C8AdA][Br],A131966,211,484.15,C20H38BrN,20,38,1,0,0,0,0,0,1,0,0
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],[C10AdA][Br],A131966,211,484.15,C22H42BrN,22,42,1,0,0,0,0,0,1,0,0
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.[Br-],[C12AdA][Br],A131966,208,481.15,C24H46BrN,24,46,1,0,0,0,0,0,1,0,0
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,[C1AdA][BF4],A131966,274.3,547.45,C13H24BF4N,13,24,1,0,0,0,4,0,0,0,0
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,[C2AdA][BF4],A131966,239.2,512.35,C14H26BF4N,14,26,1,0,0,0,4,0,0,0,0
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,[C4AdA][BF4],A131966,169.8,442.95,C16H30BF4N,16,30,1,0,0,0,4,0,0,0,0
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,[C6AdA][BF4],A131966,158.6,431.75,C18H34BF4N,18,34,1,0,0,0,4,0,0,0,0
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,[C8AdA][BF4],A131966,139.2,412.35,C20H38BF4N,20,38,1,0,0,0,4,0,0,0,0
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,[C10AdA][BF4],A131966,177.6,450.75,C22H42BF4N,22,42,1,0,0,0,4,0,0,0,0
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,[C12AdA][BF4],A131966,190.5,463.65,C24H46BF4N,24,46,1,0,0,0,4,0,0,0,0
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,[C1AdA][PF6],A131966,289,562.15,C13H24F6NP,13,24,1,0,0,1,6,0,0,0,0
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,[C2AdA][PF6],A131966,247,520.15,C14H26F6NP,14,26,1,0,0,1,6,0,0,0,0
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,[C4AdA][PF6],A131966,197.1,470.25,C16H30F6NP,16,30,1,0,0,1,6,0,0,0,0
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,[C6AdA][PF6],A131966,189,462.15,C18H34F6NP,18,34,1,0,0,1,6,0,0,0,0
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,[C8AdA][PF6],A131966,162.3,435.45,C20H38F6NP,20,38,1,0,0,1,6,0,0,0,0
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,[C10AdA][PF6],A131966,188,461.15,C22H42F6NP,22,42,1,0,0,1,6,0,0,0,0
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,[C12AdA][PF6],A131966,195,468.15,C24H46F6NP,24,46,1,0,0,1,6,0,0,0,0
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,[C1AdA][OTf],A131966,240,513.15,C14H24F3NO3S,14,24,1,3,1,0,3,0,0,0,0
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,[C2AdA][OTf],A131966,182,455.15,C15H26F3NO3S,15,26,1,3,1,0,3,0,0,0,0
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,[C4AdA][OTf],A131966,101.9,375.05,C17H30F3NO3S,17,30,1,3,1,0,3,0,0,0,0
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,[C6AdA][OTf],A131966,123.2,396.35,C19H34F3NO3S,19,34,1,3,1,0,3,0,0,0,0
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,[C8AdA][OTf],A131966,151.3,424.45,C21H38F3NO3S,21,38,1,3,1,0,3,0,0,0,0
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,[C10AdA][OTf],A131966,104.3,377.45,C23H42F3NO3S,23,42,1,3,1,0,3,0,0,0,0
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,[C12AdA][OTf],A131966,102.7,375.85,C25H46F3NO3S,25,46,1,3,1,0,3,0,0,0,0
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,[C1AdA][FSA],A131966,78.3,351.45,C13H24F2N2O4S2,13,24,2,4,2,0,2,0,0,0,0
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,[C2AdA][FSA],A131966,123.7,396.85,C14H26F2N2O4S2,14,26,2,4,2,0,2,0,0,0,0
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,[C4AdA][FSA],A131966,65.2,338.35,C16H30F2N2O4S2,16,30,2,4,2,0,2,0,0,0,0
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,[C6AdA][FSA],A131966,67.6,340.75,C18H34F2N2O4S2,18,34,2,4,2,0,2,0,0,0,0
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,[C8AdA][FSA],A131966,76.3,349.45,C20H38F2N2O4S2,20,38,2,4,2,0,2,0,0,0,0
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,[C10AdA][FSA],A131966,92.7,365.85,C22H42F2N2O4S2,22,42,2,4,2,0,2,0,0,0,0
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,[C12AdA][FSA],A131966,102.3,375.45,C24H46F2N2O4S2,24,46,2,4,2,0,2,0,0,0,0
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C1AdA][NTf2],A131966,97.2,370.35,C15H24F6N2O4S2,15,24,2,4,2,0,6,0,0,0,0
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C2AdA][NTf2],A131966,117.7,390.85,C16H26F6N2O4S2,16,26,2,4,2,0,6,0,0,0,0
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C4AdA][NTf2],A131966,53.6,326.75,C18H30F6N2O4S2,18,30,2,4,2,0,6,0,0,0,0
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C6AdA][NTf2],A131966,30.6,303.75,C20H34F6N2O4S2,20,34,2,4,2,0,6,0,0,0,0
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C8AdA][NTf2],A131966,38.7,311.85,C22H38F6N2O4S2,22,38,2,4,2,0,6,0,0,0,0
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C10AdA][NTf2],A131966,51.2,324.35,C24H42F6N2O4S2,24,42,2,4,2,0,6,0,0,0,0
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,[C12AdA][NTf2],A131966,46.2,319.35,C26H46F6N2O4S2,26,46,2,4,2,0,6,0,0,0,0
CCCC[N+](C)(C)C.F[B-](F)(F)F,[C4][BF4],A131967,188.8,461.95,C7H18BF4N,7,18,1,0,0,0,4,0,0,0,0
CCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,[C8][BF4],A131967,133.4,406.55,C11H26BF4N,11,26,1,0,0,0,4,0,0,0,0
CCCCCCCCCC[N+](C)(C)C.F[B-](F)(F)F,[C10][BF4],A131967,125.8,398.95,C13H30BF4N,13,30,1,0,0,0,4,0,0,0,0
CCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,[C4][PF6],A131967,169.3,442.45,C7H18F6NP,7,18,1,0,0,1,6,0,0,0,0
CCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,[C6][PF6],A131967,225.4,498.55,C9H22F6NP,9,22,1,0,0,1,6,0,0,0,0
CCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,[C8][PF6],A131967,143.9,417.05,C11H26F6NP,11,26,1,0,0,1,6,0,0,0,0
CCCCCCCCCC[N+](C)(C)C.F[P-](F)(F)(F)(F)F,[C10][PF6],A131967,175.7,448.85,C13H30F6NP,13,30,1,0,0,1,6,0,0,0,0
CCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,[C4][OTf],A131967,79.9,353.05,C8H18F3NO3S,8,18,1,3,1,0,3,0,0,0,0
CCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,[C6][OTf],A131967,139.5,412.65,C10H22F3NO3S,10,22,1,3,1,0,3,0,0,0,0
CCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,[C8][OTf],A131967,140.8,413.95,C12H26F3NO3S,12,26,1,3,1,0,3,0,0,0,0
CCCCCCCCCC[N+](C)(C)C.O=S(=O)([O-])C(F)(F)F,[C10][OTf],A131967,150.2,423.35,C14H30F3NO3S,14,30,1,3,1,0,3,0,0,0,0
CCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,[C4][FSA],A131967,17.9,291.05,C7H18F2N2O4S2,7,18,2,4,2,0,2,0,0,0,0
CCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,[C6][FSA],A131967,46.7,319.85,C9H22F2N2O4S2,9,22,2,4,2,0,2,0,0,0,0
CCCCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,[C8][FSA],A131967,7.18,280.33,C11H26F2N2O4S2,11,26,2,4,2,0,2,0,0,0,0
CCCCCCCCCC[N+](C)(C)C.O=S(=O)(F)[N-]S(=O)(=O)F,[C10][FSA],A131967,0,273.15,C13H30F2N2O4S2,13,30,2,4,2,0,2,0,0,0,0
CCCC[N+](C)(C)C.[Br-],[C4][Br],A131967,212.5,485.65,C7H18BrN,7,18,1,0,0,0,0,0,1,0,0
CCCCCC[N+](C)(C)C.[Br-],[C6][Br],A131967,186.8,459.95,C9H22BrN,9,22,1,0,0,0,0,0,1,0,0
CCCCCCCC[N+](C)(C)C.[Br-],[C8][Br],A131967,215.9,489.05,C11H26BrN,11,26,1,0,0,0,0,0,1,0,0
CCCCCCCCCC[N+](C)(C)C.[Br-],[C10][Br],A131967,235.6,508.75,C13H30BrN,13,30,1,0,0,0,0,0,1,0,0
CC[N+]1(C)CCC(O)CC1.[Br-],1-ethyl-4-hydroxy-1-methylpiperidinium Bromide,A131969,293.5,566.65,C8H18BrNO,8,18,1,1,0,0,0,0,1,0,0
CCCC[N+]1(C)CCC(O)CC1.[Br-],1-butyl-4-hydroxy-1-methylpiperidinium Bromide,A131969,150.5,423.65,C10H22BrNO,10,22,1,1,0,0,0,0,1,0,0
CCCCCC[N+]1(C)CCC(O)CC1.[Br-],1-hexyl-4-hydroxy-1-methylpiperidinium Bromide,A131969,81,354.15,C12H26BrNO,12,26,1,1,0,0,0,0,1,0,0
CCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],1-octyl-4-hydroxy-1-methylpiperidinium Bromide,A131969,102.5,375.65,C14H30BrNO,14,30,1,1,0,0,0,0,1,0,0
CCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],1-decyl-4-hydroxy-1-methylpiperidinium Bromide,A131969,146.5,419.65,C16H34BrNO,16,34,1,1,0,0,0,0,1,0,0
CCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],1-dodecyl-4-hydroxy-1-methylpiperidinium Bromide,A131969,205,478.15,C18H38BrNO,18,38,1,1,0,0,0,0,1,0,0
CCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],1-tetradecyl -4-hydroxy-1-methylpiperidinium Bromide,A131969,209.5,482.65,C20H42BrNO,20,42,1,1,0,0,0,0,1,0,0
CCCCCCCCCCCCCCCC[N+]1(C)CCC(O)CC1.[Br-],1-hexadecyl-4-hydroxy-1-methylpiperidinium Bromide,A131969,212.5,485.65,C22H46BrNO,22,46,1,1,0,0,0,0,1,0,0
CCC[NH2+]CCC.O=S(=O)([O-])C(F)(F)F,dipropylammonium trifluoromethanesulfonate,A130585,136,409.15,C7H16F3NO3S,7,16,1,3,1,0,3,0,0,0,0
CCC[NH2+]CCC.O=C[O-],dipropylammonium formate,A130630,-28,245.15,C7H17NO2,7,17,1,2,0,0,0,0,0,0,0
CC(=O)[O-].CCC[NH2+]CCC,dipropylammonium acetate,A130630,13,286.15,C8H19NO2,8,19,1,2,0,0,0,0,0,0,0
CCC[NH2+]CCC.[Br-],dipropylammonium bromide,A130628,265,538.15,C6H16BrN,6,16,1,0,0,0,0,0,1,0,0
CCCC[NH2+]CCCC.O=S(=O)([O-])O,dibutylammonium hydrogen sulfate,A130387,130.9,404.05,C8H21NO4S,8,21,1,4,1,0,0,0,0,0,0
CCCC[NH2+]CCCC.O=S(=O)([O-])C(F)(F)F,dibutylammonium trifluoromethanesulfonate,A130585,140,413.15,C9H20F3NO3S,9,20,1,3,1,0,3,0,0,0,0
CCCC[NH2+]CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,dibutylammonium bis(trifluoromethanesulfonyl) amide,A130391,42.6,315.75,C10H20F6N2O4S2,10,20,2,4,2,0,6,0,0,0,0
CCCC[NH2+]CCCC.F[B-](F)(F)F,dibutylammonium tetrafluoroborate,A130387,212.8,485.95,C8H20BF4N,8,20,1,0,0,0,4,0,0,0,0
CCCC[NH2+]CCCC.O=P([O-])(O)O,dibutylammonium dihydrogen phosphate,A130387,98,371.15,C8H22NO4P,8,22,1,4,0,1,0,0,0,0,0
CCCC[NH2+]CCCC.[Br-],Dibutylammonium bromide,A130628,290,563.15,C8H20BrN,8,20,1,0,0,0,0,0,1,0,0
C[NH+](C)C.O=S(=O)([O-])C(F)(F)F,trimethylammonium triflate,A130585,150,423.15,C4H10F3NO3S,4,10,1,3,1,0,3,0,0,0,0
C[NH+](C)C.O=[N+]([O-])[O-],TRIMETHYLAMMONIUM NITRATE,A130622,155,428.15,C3H10N2O3,3,10,2,3,0,0,0,0,0,0,0
CC[NH+](CC)CC.O=S(=O)([O-])O,triethylammonium hydrogen sulfate,A130387,84.2,357.35,C6H17NO4S,6,17,1,4,1,0,0,0,0,0,0
CC[NH+](CC)CC.O=S(=O)([O-])C(F)(F)F,triethylammonium triflate,A131872,32,305.15,C7H16F3NO3S,7,16,1,3,1,0,3,0,0,0,0
CC(=O)[O-].CC[NH+](CC)CC,Triethylammonium acetate,A130630,-18,255.15,C8H19NO2,8,19,1,2,0,0,0,0,0,0,0
CC[NH+](CC)CC.F[B-](F)(F)F,triethylammonium tetrafluoroborate,A130387,104.3,377.45,C6H16BF4N,6,16,1,0,0,0,4,0,0,0,0
CC[NH+](CC)CC.O=[N+]([O-])[O-],Triethylammonium nitrate,A130563,115,388.15,C6H16N2O3,6,16,2,3,0,0,0,0,0,0,0
CC[NH+](CC)CC.[Br-],Triethylammonium bromide,A130592,239,512.15,C6H16BrN,6,16,1,0,0,0,0,0,1,0,0
CC[NH+](CC)CC.[Cl-],triethylammonium cloride,A130592,244,517.15,C6H16ClN,6,16,1,0,0,0,0,1,0,0,0
CCC[NH+](CCC)CCC.O=S(=O)([O-])O,tripropylammonium sulfate,A130629,92,365.15,C9H23NO4S,9,23,1,4,1,0,0,0,0,0,0
CCC[NH+](CCC)CCC.O=S(=O)([O-])C(F)(F)F,tripropylammonium triflate,A130585,160,433.15,C10H22F3NO3S,10,22,1,3,1,0,3,0,0,0,0
CCC[NH+](CCC)CCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,tripropylammonium bis(trifluoromethane sulfonyl) imide,A131873,49,322.15,C11H22F6N2O4S2,11,22,2,4,2,0,6,0,0,0,0
