IL_SMILES,NAME,ARTICLEID,IL-Tm (deg-C),IL-Tm (K),MolecularFormula,C,H,N,O,S,P,F,Cl,Br,I,Si
Cn1n[n+](Cc2ccccc2)c2ccccc21.[Br-],C0235_A0004,A132065,173,446.15,C14H14BrN3,14,14,3,0,0,0,0,0,1,0,0
Cn1n[n+](Cc2ccccc2)c2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0235_A0048,A132065,69,342.15,C16H14F6N4O4S2,16,14,4,4,2,0,6,0,0,0,0
CS(=O)(=O)[O-].Cn1n[n+](Cc2ccccc2)c2ccccc21,C0235_A0054,A132065,92,365.15,C15H17N3O3S,15,17,3,3,1,0,0,0,0,0,0
Cc1ccc(S(=O)(=O)[O-])cc1.Cn1n[n+](Cc2ccccc2)c2ccccc21,C0235_A0030,A132065,143,416.15,C21H21N3O3S,21,21,3,3,1,0,0,0,0,0,0
Cn1cn[n+](CCN=[N+]=[N-])c1.[I-],C0826_A0069,A132065,54,327.15,C5H9IN6,5,9,6,0,0,0,0,0,0,1,0
C[n+]1cn(CCN=[N+]=[N-])cn1.[O-][Cl+3]([O-])([O-])[O-],C0583_A0051,A132065,63,336.15,C5H9ClN6O4,5,9,6,4,0,0,0,1,0,0,0
O=[N+]([O-])[O-].[N-]=[N+]=NCC[NH+]1C=NC=N1,C0178_A0090,A132065,99,372.15,C4H7N7O3,4,7,7,3,0,0,0,0,0,0,0
[Br-].[N-]=[N+]=NCC[n+]1cn(N)cn1,C0554_A0004,A132065,85,358.15,C4H8BrN7,4,8,7,0,0,0,0,0,1,0,0
O=[N+]([O-])[O-].[N-]=[N+]=NCC[n+]1cn(N)cn1,C0554_A0090,A132065,70,343.15,C4H8N8O3,4,8,8,3,0,0,0,0,0,0,0
CCCC[n+]1cn(CCC(F)(F)F)cn1.O=S(=O)([O-])C(F)(F)F,C0550_A0084,A132065,33,306.15,C10H15F6N3O3S,10,15,3,3,1,0,6,0,0,0,0
CCCC[n+]1cn(CCC(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0550_A0048,A132065,69,342.15,C11H15F9N4O4S2,11,15,4,4,2,0,9,0,0,0,0
CCCCCCCn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0172_A0048,A132065,55,328.15,C17H21F15N4O4S2,17,21,4,4,2,0,15,0,0,0,0
CCCCCCCCCCn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0706_A0048,A132065,53,326.15,C20H27F15N4O4S2,20,27,4,4,2,0,15,0,0,0,0
Cn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0579_A0048,A132065,62,335.15,C13H9F19N4O4S2,13,9,4,4,2,0,19,0,0,0,0
CCCCn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0992_A0048,A132065,28,301.15,C16H15F19N4O4S2,16,15,4,4,2,0,19,0,0,0,0
CCCCCCCn1c[n+](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0074_A0048,A132065,22,295.15,C19H21F19N4O4S2,19,21,4,4,2,0,19,0,0,0,0
CCCCCCC[n+]1cn(C(C)F)cn1.F[B-](F)(F)F,C1094_A0020,A132065,52,325.15,C11H21BF5N3,11,21,3,0,0,0,5,0,0,0,0
CCCCCCCCCC[n+]1cn(C(C)F)cn1.O=S(=O)([O-])C(F)(F)F,C0522_A0084,A132065,46,319.15,C15H27F4N3O3S,15,27,3,3,1,0,4,0,0,0,0
CCCCCCCn1c[n+](CC(O)C(F)(F)F)cn1.[Br-],C0711_A0004,A132065,98,371.15,C12H21BrF3N3O,12,21,3,1,0,0,3,0,1,0,0
Cn1c[n+](C)cn1.O=[N+]([O-])[O-],C0593_A0090,A132065,1,274.15,C4H8N4O3,4,8,4,3,0,0,0,0,0,0,0
C[n+]1cn(N)cn1.[O-][Cl+3]([O-])([O-])[O-],C0391_A0051,A132065,86,359.15,C3H7ClN4O4,3,7,4,4,0,0,0,1,0,0,0
C[n+]1cn(N)cn1.O=[N+]([O-])[O-],C0391_A0090,A132065,54,327.15,C3H7N5O3,3,7,5,3,0,0,0,0,0,0,0
C[n+]1cn(N)cn1.[N-]=[N+]=[N-],C0391_A0073,A132065,43,316.15,C3H7N7,3,7,7,0,0,0,0,0,0,0,0
C[NH+]1C=NC(N=[N+]=[N-])=N1.[O-][Cl+3]([O-])([O-])[O-],C0125_A0051,A132065,55,328.15,C3H5ClN6O4,3,5,6,4,0,0,0,1,0,0,0
C[NH+]1C=NC(N=[N+]=[N-])=N1.O=[N+]([O-])[O-],C0125_A0090,A132065,66,339.15,C3H5N7O3,3,5,7,3,0,0,0,0,0,0,0
C[NH+]1C=NC(N=[N+]=[N-])=N1.O=C(O[N+](=O)[O-])c1nn[n-]n1,C0125_A0019,A132065,-38,235.15,C5H5N11O4,5,5,11,4,0,0,0,0,0,0,0
C[NH+]1C=NC(N=[N+]=[N-])=N1.O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,C0125_A0035,A132065,80,353.15,C7H6N10O6,7,6,10,6,0,0,0,0,0,0,0
CC1=NC(N=[N+]=[N-])=N[NH2+]1.O=[N+]([O-])[O-],C0890_A0090,A132065,118,391.15,C3H5N7O3,3,5,7,3,0,0,0,0,0,0,0
O=[N+]([O-])[O-].[N-]=[N+]=NC1=N[NH2+]C=N1,C0689_A0090,A132065,147,420.15,C2H3N7O3,2,3,7,3,0,0,0,0,0,0,0
O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1.[N-]=[N+]=NC1=N[NH2+]C=N1,C0689_A0035,A132065,92,365.15,C6H4N10O6,6,4,10,6,0,0,0,0,0,0,0
O=[N+]([O-])[O-].[N-]=[N+]=NC1=N[NH2+]C(N=[N+]=[N-])=N1,C0771_A0090,A132065,97,370.15,C2H2N10O3,2,2,10,3,0,0,0,0,0,0,0
Cn1c[n+](C)nc1N=[N+]=[N-].[O-][Cl+3]([O-])([O-])[O-],C0175_A0051,A132065,68,341.15,C4H7ClN6O4,4,7,6,4,0,0,0,1,0,0,0
Cn1c[n+](C)nc1N=[N+]=[N-].O=[N+]([O-])[O-],C0175_A0090,A132065,98,371.15,C4H7N7O3,4,7,7,3,0,0,0,0,0,0,0
CCCn1c[n+](CCCCC(F)(F)C(F)(F)S(F)(F)(F)(F)F)cn1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0781_A0048,A132065,-55,218.15,C13H17F15N4O4S3,13,17,4,4,3,0,15,0,0,0,0
N[NH+]1C=NC=N1.[O-][Cl+3]([O-])([O-])[O-],C0430_A0051,A132065,91,364.15,C2H5ClN4O4,2,5,4,4,0,0,0,1,0,0,0
N[NH+]1C=NC=N1.O=[N+]([O-])[O-],C0430_A0090,A132065,121,394.15,C2H5N5O3,2,5,5,3,0,0,0,0,0,0,0
O=C(O[N+](=O)[O-])c1nn[n-]n1.[NH3+]n1cnnc1,C0218_A0019,A132065,102,375.15,C4H5N9O4,4,5,9,4,0,0,0,0,0,0,0
O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1.[NH3+]n1cnnc1,C0218_A0035,A132065,137,410.15,C6H6N8O6,6,6,8,6,0,0,0,0,0,0,0
O=[N+]([O-])c1ncn[n-]1.[NH3+]n1cnnc1,C0218_A0014,A132065,64,337.15,C4H6N8O2,4,6,8,2,0,0,0,0,0,0,0
[NH3+]n1cnnc1.[O-][Cl+3]([O-])([O-])[O-],C0218_A0051,A132065,83,356.15,C2H5ClN4O4,2,5,4,4,0,0,0,1,0,0,0
O=[N+]([O-])[O-].[NH3+]n1cnnc1,C0218_A0090,A132065,69,342.15,C2H5N5O3,2,5,5,3,0,0,0,0,0,0,0
Cn1cn[n+](N)c1.[O-][Cl+3]([O-])([O-])[O-],C0326_A0051,A132065,108,381.15,C3H7ClN4O4,3,7,4,4,0,0,0,1,0,0,0
NC1=NC=N[NH+]1N.[O-][Cl+3]([O-])([O-])[O-],C0007_A0051,A132065,138,411.15,C2H6ClN5O4,2,6,5,4,0,0,0,1,0,0,0
NC1=NC=N[NH+]1N.O=[N+]([O-])[O-],C0007_A0090,A132065,159,432.15,C2H6N6O3,2,6,6,3,0,0,0,0,0,0,0
NC1=NC=N[NH+]1N.O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,C0007_A0035,A132065,153,426.15,C6H7N9O6,6,7,9,6,0,0,0,0,0,0,0
C1=NC=N[NH2+]1.O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,C0442_A0035,A132065,156,429.15,C6H5N7O6,6,5,7,6,0,0,0,0,0,0,0
C[NH+]1C=NC=N1.O=C([O-])c1nc([N+](=O)[O-])c([N+](=O)[O-])[nH]1,C0058_A0035,A132065,102,375.15,C7H7N7O6,7,7,7,6,0,0,0,0,0,0,0
CCCC[n+]1nn(CC)c2ccccc21.F[P-](F)(F)(F)(F)F,C1039_A0011,A132065,101,374.15,C12H18F6N3P,12,18,3,0,0,1,6,0,0,0,0
CCCCn1n[n+](CCCC)c2ccccc21.[Br-],C0322_A0004,A132065,88,361.15,C14H22BrN3,14,22,3,0,0,0,0,0,1,0,0
CCCCn1n[n+](CCCC)c2ccccc21.F[B-](F)(F)F,C0322_A0020,A132065,85,358.15,C14H22BF4N3,14,22,3,0,0,0,4,0,0,0,0
CCCCn1n[n+](CCCC)c2ccccc21.F[P-](F)(F)(F)(F)F,C0322_A0011,A132065,113,386.15,C14H22F6N3P,14,22,3,0,0,1,6,0,0,0,0
Cc1n(C)c(C(F)(F)F)n[n+]1CCCF.[I-],C1003_A0069,A132065,115,388.15,C8H12F4IN3,8,12,3,0,0,0,4,0,0,1,0
Cc1n(C)c(C(F)(F)F)n[n+]1CCCF.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C1003_A0048,A132065,49,322.15,C10H12F10N4O4S2,10,12,4,4,2,0,10,0,0,0,0
Cc1n(C)nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[n+]1C.[O-][Cl+3]([O-])([O-])[O-],C0277_A0051,A132065,90,363.15,C13H9ClF17N3O4,13,9,3,4,0,0,17,1,0,0,0
Cc1n(C)nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[n+]1C.F[B-](F)(F)F,C0277_A0020,A132065,98,371.15,C13H9BF21N3,13,9,3,0,0,0,21,0,0,0,0
Cc1n(C)nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)[n+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0277_A0048,A132065,81,354.15,C15H9F23N4O4S2,15,9,4,4,2,0,23,0,0,0,0
Cc1n(C)c(C(F)(F)F)n[n+]1C.[O-][Cl+3]([O-])([O-])[O-],C0801_A0051,A132065,128,401.15,C6H9ClF3N3O4,6,9,3,4,0,0,3,1,0,0,0
Cc1n(C)c(C(F)(F)F)n[n+]1C.F[B-](F)(F)F,C0801_A0020,A132065,130,403.15,C6H9BF7N3,6,9,3,0,0,0,7,0,0,0,0
Cc1n(C)c(C(F)(F)F)n[n+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0801_A0048,A132065,70,343.15,C8H9F9N4O4S2,8,9,4,4,2,0,9,0,0,0,0
Cc1n(C)c(C(F)(F)F)n[n+]1C.O=S(=O)([O-])C(F)(F)F,C0801_A0084,A132065,137,410.15,C7H9F6N3O3S,7,9,3,3,1,0,6,0,0,0,0
Cn1cc[n+](N)n1.O=[N+]([O-])[O-],C0902_A0090,A132065,87,360.15,C3H7N5O3,3,7,5,3,0,0,0,0,0,0,0
Cn1cc[n+](N)n1.[N-]=[N+]=[N-],C0902_A0073,A132065,50,323.15,C3H7N7,3,7,7,0,0,0,0,0,0,0,0
CCn1cc[n+](N)n1.O=[N+]([O-])[O-],C0298_A0090,A132065,31,304.15,C4H9N5O3,4,9,5,3,0,0,0,0,0,0,0
CCCn1cc[n+](N)n1.O=[N+]([O-])[O-],C0154_A0090,A132065,34,307.15,C5H11N5O3,5,11,5,3,0,0,0,0,0,0,0
C=CCn1cc[n+](N)n1.O=[N+]([O-])[O-],C0936_A0090,A132065,10,283.15,C5H9N5O3,5,9,5,3,0,0,0,0,0,0,0
CCCCn1cc[n+](N)n1.O=[N+]([O-])[O-],C0216_A0090,A132065,49,322.15,C6H13N5O3,6,13,5,3,0,0,0,0,0,0,0
Nn1cn[n+](CCBr)c1.[Br-],C0405_A0004,A132065,131,404.15,C4H8Br2N4,4,8,4,0,0,0,0,0,2,0,0
C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0411_A0048,A132065,105,378.15,C8H14F6N2O4S2,8,14,2,4,2,0,6,0,0,0,0
C[N+]1(C)CCCC1.N#C[N-]C#N,C0411_A0056,A132065,115,388.15,C8H14N4,8,14,4,0,0,0,0,0,0,0,0
C[N+]1(C)CCCC1.O=C([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0411_A0034,A132065,14,287.15,C9H14F6N2O3S,9,14,2,3,1,0,6,0,0,0,0
CS(=O)(=O)[N-]S(C)(=O)=O.C[N+]1(C)CCCC1,C0411_A0032,A132065,48,321.15,C8H20N2O4S2,8,20,2,4,2,0,0,0,0,0,0
CS(=O)(=O)[O-].C[N+]1(C)CCCC1,C0411_A0054,A132065,200,473.15,C7H17NO3S,7,17,1,3,1,0,0,0,0,0,0
C[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0411_A0079,A132065,198,471.15,C10H14F9NO3S,10,14,1,3,1,0,9,0,0,0,0
C[N+]1(C)CCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,C0411_A0030,A132065,167,440.15,C13H21NO3S,13,21,1,3,1,0,0,0,0,0,0
C[N+]1(C)CCCC1.O=C([O-])C=CC(=O)O,C0411_A0039,A132065,74,347.15,C10H17NO4,10,17,1,4,0,0,0,0,0,0,0
C[N+]1(C)CCCC1.O=C([O-])c1ccccc1C(=O)O,C0411_A0088,A132065,88,361.15,C14H19NO4,14,19,1,4,0,0,0,0,0,0,0
CC[N+]1(C)CCCC1.N#C[N-]C#N,C0876_A0056,A132065,-10,263.15,C9H16N4,9,16,4,0,0,0,0,0,0,0,0
CC[N+]1(C)CCCC1.CS(=O)(=O)[O-],C0876_A0054,A132065,40,313.15,C8H19NO3S,8,19,1,3,1,0,0,0,0,0,0
CC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0876_A0079,A132065,176,449.15,C11H16F9NO3S,11,16,1,3,1,0,9,0,0,0,0
CC[N+]1(C)CCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,C0876_A0030,A132065,120,393.15,C14H23NO3S,14,23,1,3,1,0,0,0,0,0,0
CCC[N+]1(C)CCCC1.N#C[N-]C#N,C0152_A0056,A132065,-35,238.15,C10H18N4,10,18,4,0,0,0,0,0,0,0,0
CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,C0152_A0027,A132065,-18,255.15,C8H18F2N2O4S2,8,18,2,4,2,0,2,0,0,0,0
CCC[N+]1(C)CCCC1.CS(=O)(=O)[O-],C0152_A0054,A132065,80,353.15,C9H21NO3S,9,21,1,3,1,0,0,0,0,0,0
CCC[N+]1(C)CCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,C0152_A0030,A132065,80,353.15,C15H25NO3S,15,25,1,3,1,0,0,0,0,0,0
CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,C0315_A0020,A132065,78,351.15,C9H20BF4N,9,20,1,0,0,0,4,0,0,0,0
CCCC[N+]1(C)CCCC1.F[B-](F)(F)C(F)(F)F,C0315_A0008,A132065,-18,255.15,C10H20BF6N,10,20,1,0,0,0,6,0,0,0,0
CCCC[N+]1(C)CCCC1.F[B-](F)(F)C(F)(F)C(F)(F)F,C0315_A0043,A132065,22,295.15,C11H20BF8N,11,20,1,0,0,0,8,0,0,0,0
CCCC[N+]1(C)CCCC1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0315_A0009,A132065,53,326.15,C12H20BF10N,12,20,1,0,0,0,10,0,0,0,0
CCCC[N+]1(C)CCCC1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0315_A0021,A132065,61,334.15,C13H20BF12N,13,20,1,0,0,0,12,0,0,0,0
CCCC[N+]1(C)CCCC1.N#C[N-]C#N,C0315_A0056,A132065,-55,218.15,C11H20N4,11,20,4,0,0,0,0,0,0,0,0
CCCC[N+]1(C)CCCC1.CS(=O)(=O)[N-]S(C)(=O)=O,C0315_A0032,A132065,-58,215.15,C11H26N2O4S2,11,26,2,4,2,0,0,0,0,0,0
CCCC[N+]1(C)CCCC1.CS(=O)(=O)[O-],C0315_A0054,A132065,63,336.15,C10H23NO3S,10,23,1,3,1,0,0,0,0,0,0
CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0315_A0079,A132065,94,367.15,C13H20F9NO3S,13,20,1,3,1,0,9,0,0,0,0
CCCC[N+]1(C)CCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,C0315_A0030,A132065,115,388.15,C16H27NO3S,16,27,1,3,1,0,0,0,0,0,0
CCCC[N+]1(C)CCCC1.O=P([O-])(O)O,C0315_A0012,A132065,112,385.15,C9H22NO4P,9,22,1,4,0,1,0,0,0,0,0
CC(=O)[O-].CCCC[N+]1(C)CCCC1,C0315_A0087,A132065,81,354.15,C11H23NO2,11,23,1,2,0,0,0,0,0,0,0
CCCCCC[N+]1(C)CCCC1.N#C[N-]C#N,C0821_A0056,A132065,-55,218.15,C13H24N4,13,24,4,0,0,0,0,0,0,0,0
CCCCCC[N+]1(C)CCCC1.CS(=O)(=O)[N-]S(C)(=O)=O,C0821_A0032,A132065,-55,218.15,C13H30N2O4S2,13,30,2,4,2,0,0,0,0,0,0
CCCCCC[N+]1(C)CCCC1.CS(=O)(=O)[O-],C0821_A0054,A132065,86,359.15,C12H27NO3S,12,27,1,3,1,0,0,0,0,0,0
CCCCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0821_A0079,A132065,120,393.15,C15H24F9NO3S,15,24,1,3,1,0,9,0,0,0,0
CCCCCC[N+]1(C)CCCC1.Cc1ccc(S(=O)(=O)[O-])cc1,C0821_A0030,A132065,137,410.15,C18H31NO3S,18,31,1,3,1,0,0,0,0,0,0
COC(=O)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C1153_A0048,A132065,-42,231.15,C10H16F6N2O6S2,10,16,2,6,2,0,6,0,0,0,0
CCCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0397_A0079,A132065,117,390.15,C14H22F9NO3S,14,22,1,3,1,0,9,0,0,0,0
C[NH+]1CCCC1.O=C([O-])C(F)(F)F,C1075_A0064,A132065,38,311.15,C7H12F3NO2,7,12,1,2,0,0,3,0,0,0,0
C[NH+]1CCCC1.O=C[O-],C1075_A0024,A132065,-32,241.15,C6H13NO2,6,13,1,2,0,0,0,0,0,0,0
COC[N+]1(C)CCCC1.F[B-](F)(F)F,C1091_A0020,A132065,-18,255.15,C7H16BF4NO,7,16,1,1,0,0,4,0,0,0,0
COC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C1091_A0048,A132065,-21,252.15,C9H16F6N2O5S2,9,16,2,5,2,0,6,0,0,0,0
COC[N+]1(C)CCCC1.F[B-](F)(F)C(F)(F)F,C1091_A0008,A132065,-4,269.15,C8H16BF6NO,8,16,1,1,0,0,6,0,0,0,0
COC[N+]1(C)CCCC1.F[B-](F)(F)C(F)(F)C(F)(F)F,C1091_A0043,A132065,26,299.15,C9H16BF8NO,9,16,1,1,0,0,8,0,0,0,0
COCC[N+]1(C)CCCC1.F[B-](F)(F)F,C0141_A0020,A132065,12,285.15,C8H18BF4NO,8,18,1,1,0,0,4,0,0,0,0
COCC[N+]1(C)CCCC1.F[B-](F)(F)C(F)(F)F,C0141_A0008,A132065,-16,257.15,C9H18BF6NO,9,18,1,1,0,0,6,0,0,0,0
COCC[N+]1(C)CCCC1.F[B-](F)(F)C(F)(F)C(F)(F)F,C0141_A0043,A132065,-3,270.15,C10H18BF8NO,10,18,1,1,0,0,8,0,0,0,0
CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)F,C0155_A0074,A132065,-4,269.15,C12H20F8N2O4S2,12,20,2,4,2,0,8,0,0,0,0
CC[N+]1(CC(=O)OC)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0044_A0048,A132065,-42,231.15,C12H20F6N2O6S2,12,20,2,6,2,0,6,0,0,0,0
CC1(C)CC(N)CC(C)(C)[NH2+]1.O=C([CH-]C(=O)C(F)(F)F)C(F)(F)F,C0867_A0010,A132065,88,361.15,C14H22F6N2O2,14,22,2,2,0,0,6,0,0,0,0
CC1(C)CC(N)CC(C)(C)[NH2+]1.O=C([CH-]C(=O)C(F)(F)F)c1ccco1,C0867_A0036,A132065,152,425.15,C17H25F3N2O3,17,25,2,3,0,0,3,0,0,0,0
COCC[N+]1(C)CCCCC1.F[B-](F)(F)C(F)(F)F,C0728_A0008,A132065,-16,257.15,C10H20BF6NO,10,20,1,1,0,0,6,0,0,0,0
COCC[N+]1(C)CCCCC1.F[B-](F)(F)C(F)(F)C(F)(F)F,C0728_A0043,A132065,-15,258.15,C11H20BF8NO,11,20,1,1,0,0,8,0,0,0,0
COCC[N+]1(C)CCCCC1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0728_A0009,A132065,-9,264.15,C12H20BF10NO,12,20,1,1,0,0,10,0,0,0,0
COCC[N+]1(C)CCCCC1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0728_A0021,A132065,20,293.15,C13H20BF12NO,13,20,1,1,0,0,12,0,0,0,0
CCCC[N+]1(C)CCCCC1.F[B-](F)(F)F,C0137_A0020,A132065,146,419.15,C10H22BF4N,10,22,1,0,0,0,4,0,0,0,0
CCCC[N+]1(C)CCCCC1.F[B-](F)(F)C(F)(F)F,C0137_A0008,A132065,12,285.15,C11H22BF6N,11,22,1,0,0,0,6,0,0,0,0
CCCC[N+]1(C)CCCCC1.F[B-](F)(F)C(F)(F)C(F)(F)F,C0137_A0043,A132065,41,314.15,C12H22BF8N,12,22,1,0,0,0,8,0,0,0,0
CCCC[N+]1(C)CCCCC1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0137_A0009,A132065,81,354.15,C13H22BF10N,13,22,1,0,0,0,10,0,0,0,0
CCCC[N+]1(C)CCCCC1.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C0137_A0021,A132065,92,365.15,C14H22BF12N,14,22,1,0,0,0,12,0,0,0,0
CCCCCCCC[N+]1(C)CCCCC1.F[B-](F)(F)F,C0168_A0020,A132065,92,365.15,C14H30BF4N,14,30,1,0,0,0,4,0,0,0,0
CCCCCCCC[N+]1(C)CCCCC1.O=S(=O)([O-])C(F)(F)F,C0168_A0084,A132065,47,320.15,C15H30F3NO3S,15,30,1,3,1,0,3,0,0,0,0
CC[NH+]1CCC=C1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0645_A0048,A132065,45,318.15,C9H14F6N2O4S2,9,14,2,4,2,0,6,0,0,0,0
CCC[NH+]1CCC=C1C.[I-],C1100_A0069,A132065,85,358.15,C8H16IN,8,16,1,0,0,0,0,0,0,1,0
CCC[NH+]1CCC=C1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C1100_A0048,A132065,19,292.15,C10H16F6N2O4S2,10,16,2,4,2,0,6,0,0,0,0
CCCC[NH+]1CCC=C1C.[I-],C0502_A0069,A132065,111,384.15,C9H18IN,9,18,1,0,0,0,0,0,0,1,0
CCCC[NH+]1CCC=C1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0502_A0048,A132065,36,309.15,C11H18F6N2O4S2,11,18,2,4,2,0,6,0,0,0,0
CCCC[n+]1ccccc1.F[B-](F)(F)F,C0734_A0020,A132065,15,288.15,C9H14BF4N,9,14,1,0,0,0,4,0,0,0,0
CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C0734_A0048,A132065,26,299.15,C11H14F6N2O4S2,11,14,2,4,2,0,6,0,0,0,0
CCCC[n+]1ccccc1.O=S(=O)([O-])OCC(F)(F)C(F)(F)C(F)(F)C(F)F,C0734_A0078,A132065,3,276.15,C14H17F8NO4S,14,17,1,4,1,0,8,0,0,0,0
CCCC[n+]1ccccc1.O=C([O-])c1ccccc1,C0734_A0031,A132065,11,284.15,C16H19NO2,16,19,1,2,0,0,0,0,0,0,0
CCCCCCCCCCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,C0527_A0011,A132065,106,379.15,C17H30F6NP,17,30,1,0,0,1,6,0,0,0,0
CCCCCCCCCCCC[n+]1ccccc1.FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,C0527_A0006,A132065,64,337.15,C49H42BF24N,49,42,1,0,0,0,24,0,0,0,0
CCCCCCCCCCCCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,C0209_A0011,A132065,124,397.15,C19H34F6NP,19,34,1,0,0,1,6,0,0,0,0
CCCCCCCCCCCCCCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,C0428_A0011,A132065,126,399.15,C21H38F6NP,21,38,1,0,0,1,6,0,0,0,0
CCCCCCCCCCCCCCCCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F,C0279_A0011,A132065,126,399.15,C23H42F6NP,23,42,1,0,0,1,6,0,0,0,0
CCCC[n+]1ccc(C)cc1.O=C([O-])c1ccccc1,C0845_A0031,A132065,10,283.15,C17H21NO2,17,21,1,2,0,0,0,0,0,0,0
CCCCCCCCCCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,C1109_A0011,A132065,55,328.15,C18H32F6NP,18,32,1,0,0,1,6,0,0,0,0
CCCCCCCCCCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F,C0853_A0011,A132065,56,329.15,C18H32F6NP,18,32,1,0,0,1,6,0,0,0,0
